о 11,275228585033288
а 8,409213193039394
е 8,166747173521783
и 6,510569318121262
н 6,495442051394888
т 5,7498225124671025
с 5,247184695331692
л 4,998358347758672
в 4,536289109571262
р 4,4025503196494595
к 3,4310531843755965
д 3,0406665623802063
м 3,002418643668637
у 2,766141051448178
п 2,5171428031169047
я 2,2606668718015714
г 2,0060818488270353
ь 1,9931892919579668
ы 1,8925413980001065
б 1,7645612834798214
з 1,728634025004684
ч 1,4153448930863235
й 1,1519069810616935
ж 1,0352723165861883
ш 0,968231020867033
х 0,8581285852051893
ю 0,6515038737835872
ц 0,35145110025080323
э 0,30933541447851326
щ 0,28664451438895294
ф 0,19132554393697432
3 0,16236026617113408
2 0,14422473617531129
4 0,04933551761896822
1 0,04572560169562908
ъ 0,044694197146103606
5 0,024495858051229863
8 0,023292552743450153
0 0,022690900089560293
6 0,02140164440265346
9 0,020456190232255114
7 0,018737182649712667
ё 0,0052429731267544626
